Lag Accounted Recalls,DEATHS,Cars on Road,Recall Rate per 100k per COR,Fatality Rate per 100k per COR,Manufacturer
41323755,278,3617543,1142315.5163601371,7.684773892114067,BMW
249501619,1590,20663080,1207475.4538045635,7.694883821772939,Chrysler
11208366,170,1912154,586164.3988925578,8.890497314,Daimler
238777338,1728,24345813,980773.7289364706,7.097729699969354,Ford
265398232,2545,30131209,880808.4401790847,8.446391912120088,General Motors
208467808,1490,14541181,1433637.3916258933,10.246760562295457,Honda
32567278,166,3824746,851488.6478736104,4.340157490196734,Mercedes
92962466,1512,13351799,696254.2351034494,11.324316670734783,Nissan
49935168,345,6718766,743219.3352,5.1348714927711425,Volkswagen
